"Crimes, by type of violation, and by province and territory (Newfoundland and Labrador, Prince Edward Island, Nova Scotia, New Brunswick)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,
,Canada,N.L.,P.E.I.,N.S.,N.B.,Man.,Sask.,Alta.,B.C.,Que.,Ont.,Y.T.,N.W.T.,Nvt.
,incidents,,,,,,,,,,,,,
All violations,2111021,33545,6849,53193,41597,113643,144047,367521,412078,345122,550391,9696,20784,12555
All Criminal Code violations (including traffic),1989509,32291,6549,50085,39552,109210,136123,352384,383028,320442,518064,9358,20191,12232
All Criminal Code violations (excluding traffic),1863675,30575,6065,46864,37189,105557,126723,333924,367354,279859,489195,8835,19538,11997
Violent Criminal Code violations,380795,7204,1078,11057,8939,23157,22899,54206,56994,79093,108353,1533,3348,2934
Homicide[1],604,3,1,12,11,47,43,133,95,77,174,1,5,2
Attempted murder,774,4,3,33,17,30,28,63,129,212,247,4,3,1
Sexual assault (levels 1-3),21362,365,73,635,438,1356,1146,2880,2426,3981,7628,90,172,172
Assault[2],219068,4001,560,5690,4847,15289,15394,32749,31004,43012,61274,1003,2298,1947
Robbery,22080,186,16,318,154,1642,978,3404,3651,4030,7636,20,26,19
Criminal harassment,20001,329,68,517,641,218,576,2173,1997,4930,8340,49,94,69
Uttering Threats,62845,1857,200,2411,2081,3144,3032,8049,10437,15515,14929,262,495,433
Other violent violations[3],34061,459,157,1441,750,1431,1702,4755,7255,7336,8125,104,255,291
Property crime violations,1154315,18151,4206,27776,22460,60863,70507,216619,233159,166181,314915,3604,10315,5559
Breaking and entering,159338,2558,502,3202,3346,8842,9407,27517,30133,32665,39736,300,527,603
Theft of motor vehicle,78849,472,95,930,932,4108,4840,22330,14697,13123,16851,140,233,98
"Theft over $5,000 (non-motor vehicle)",15573,226,19,214,221,395,626,3160,2828,3350,4458,35,32,9
"Theft under $5,000 (non-motor vehicle)",488540,6136,1904,11335,9114,17726,19775,84165,117308,65337,153557,970,830,383
Mischief,274725,7369,1220,8206,6056,25222,28665,52503,45108,30081,55477,1974,8481,4363
Other property crime violations[4],137290,1390,466,3889,2777.99,4570,7194,26944,23085,21625,44836,185,212,103
Other Criminal Code violations,328565,5220,781,8031,5790,21537,33317,63099,77201,34585,65927,3698,5875,3504
Disturb the peace,104129,1917,314,1538,1612,9124,6844,20263,46228,568,6011,2638,4455,2617
Administration of justice violations,175341,2448,320,4597,2796,10255,22948,34728,18913,27763,47827,930,1116,700
Other violations[5],49091,855,147,1896,1382,2158,3524,8108,12060,6254,12086,130,304,187
Criminal Code traffic violations,125834,1716,484,3221,2363,3653,9400,18460,15674,40583,28869,523,653,235
Impaired driving,72039,1376,386,2653,1795,2811,6519,13189,11652,15199,15280,453,534,192
Other Criminal Code traffic violations,53795,340,98,568,568,842,2881,5271,4022,25384,13589,70,119,43
Federal Statute violations,121512,1254,300,3108,2045,4433,7924,15137,29050,24680,32327,338,593,323
Drug violations,96423,1080,236,2742,1582,3010,3560,12646,22156,21069,27382,188,479,293
Other Federal Statutes[6],25089,174,64,366,463,1423,4364,2491,6894,3611,4945,150,114,30
,"rate per 100,000 population",,,,,,,,,,,,,
All violations,5888.19,6356.16,4676.78,5640.82,5517.79,8786.53,12706.62,8757.89,8799.18,4176.41,3990.64,25905.74,47142.08,34006.88
All Criminal Code violations (including traffic),5549.26,6118.55,4471.92,5311.23,5246.52,8443.78,12007.64,8397.18,8178.87,3877.75,3756.25,25002.67,45797.04,33131.99
All Criminal Code violations (excluding traffic),5198.28,5793.4,4141.43,4969.66,4933.07,8161.34,11178.45,7957.28,7844.18,3386.65,3546.93,23605.32,44315.91,32495.46
Violent Criminal Code violations,1062.14,1365.02,736.1,1172.53,1185.75,1790.43,2019.96,1291.71,1217,957.13,785.62,4095.86,7593.9,7947.13
Homicide[1],1.68,0.57,0.68,1.27,1.46,3.63,3.79,3.17,2.03,0.93,1.26,2.67,11.34,5.42
Attempted murder,2.16,0.76,2.05,3.5,2.26,2.32,2.47,1.5,2.75,2.57,1.79,10.69,6.8,2.71
Sexual assault (levels 1-3),59.58,69.16,49.85,67.34,58.1,104.84,101.09,68.63,51.81,48.17,55.31,240.46,390.13,465.89
Assault[2],611.04,758.12,382.4,603.39,642.95,1182.11,1357.93,780.39,662.04,520.5,444.26,2679.81,5212.3,5273.71
Robbery,61.59,35.24,10.93,33.72,20.43,126.95,86.27,81.12,77.96,48.77,55.37,53.44,58.97,51.46
Criminal harassment,55.79,62.34,46.43,54.82,85.03,16.86,50.81,51.78,42.64,59.66,60.47,130.92,213.21,186.9
Uttering Threats,175.29,351.87,136.57,255.67,276.04,243.08,267.46,191.8,222.86,187.75,108.24,700.01,1122.75,1172.84
Other violent violations[3],95.02,86.96,107.2,152.82,99.5,110.63,150.13,113.31,154.91,88.78,58.92,277.86,578.38,788.22
Property crime violations,3219.69,3439.28,2872.03,2945.49,2979.29,4705.74,6219.54,5161.95,4978.69,2011,2283.31,9629.15,23396.39,15057.29
Breaking and entering,444.44,484.69,342.79,339.55,443.84,683.64,829.81,655.72,643.44,395.29,288.11,801.54,1195.34,1633.31
Theft of motor vehicle,219.93,89.44,64.87,98.62,123.63,317.62,426.94,532.12,313.83,158.8,122.18,374.05,528.49,265.45
"Theft over $5,000 (non-motor vehicle)",43.44,42.82,12.97,22.69,29.32,30.54,55.22,75.3,60.39,40.54,32.32,93.51,72.58,24.38
"Theft under $5,000 (non-motor vehicle)",1362.67,1162.66,1300.13,1202.01,1208.96,1370.52,1744.39,2005.62,2504.9,790.66,1113.37,2591.64,1882.6,1037.41
Mischief,766.28,1396.29,833.07,870.2,803.32,1950.09,2528.59,1251.13,963.2,364.02,402.24,5274.13,19236.53,11817.76
